Character,Meaning
文,"surname Wen; language, culture, writing, formal, literary, gentle, (old) classifier for coins, Kangxi radical 67"
志,"aspiration, ambition, the will; sign, mark, to record, to write a footnote"
明,"Ming Dynasty (1368–1644), surname Ming, Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; bright, opposite: dark 暗[an4], (of meaning) clear, to understand, next, public or open, wise, generic term for a sacrifice to the gods"
俊,"old variant of 俊[jun4]; smart, eminent, handsome, talented; (dialectal pronunciation of 俊[jun4]), cool, neat; variant of 俊[jun4]"
宏,"great, magnificent, macro (computing), macro-"
偉,"big, large, great"
家,"used in 傢伙|家伙[jia1 huo5] and 傢俱|家俱[jia1 ju4]; home, family, (polite) my (sister, uncle etc), classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian, CL:個|个[ge4]"
建,"to establish, to found, to set up, to build, to construct"
豪,"grand, heroic"
嘉,"surname Jia; excellent, auspicious, to praise, to commend"
銘,"to engrave, inscribed motto"
宇,"room, universe"
智,(literary) wise; wisdom
國,"surname Guo; country; nation; state, (bound form) national"
柏,"surname Bai, Taiwan pr. [Bo2]; cedar, cypress, Taiwan pr. [bo2]; (used for transcribing names); used in 黃柏|黄柏[huang2 bo4], Taiwan pr. [bo2]; variant of 柏[bai3]"
華,"abbr. for China; Mount Hua 華山|华山[Hua4 Shan1] in Shaanxi, surname Hua; old variant of 花[hua1], flower; magnificent, splendid, flowery"
正,"first month of the lunar year; straight, upright, proper, main, principal, to correct, to rectify, exactly, just (at that time), right (in that place), (math.) positive"
佳,"surname Jia; beautiful, fine, good"
宗,"surname Zong; school, sect, purpose, model, ancestor, clan, to take as one's model (in academic or artistic work), classifier for batches, items, cases (medical or legal), reservoirs"
傑,"(bound form) hero, heroic, outstanding person, prominent, distinguished"
世,"surname Shi; life, age, generation, era, world, lifetime, epoch, descendant, noble"
凱,"surname Kai; (bound form) triumphal music, (Tw) (coll.) generous with money; lavish in spending, chi (Greek letter Χχ)"
彥,"accomplished, elegant"
政,"political, politics, government"
維,"abbr. for Uighur 維吾爾|维吾尔[Wei2 wu2 er3], surname Wei; to preserve, to maintain, to hold together, dimension, vitamin (abbr. for 維生素|维生素[wei2 sheng1 su4])"
賢,"worthy or virtuous person, honorific used for a person of the same or a younger generation"
榮,"surname Rong; glory, honor, thriving"
瑋,"(reddish jade), precious, rare"
怡,"harmony, pleased"
仁,"humane, kernel"
哲,"wise, a sage"
惠,"surname Hui; (bound form) act of kindness (from a superior), (honorific prefix) kind (as in 惠顧|惠顾[hui4 gu4])"
瑞,"lucky, auspicious, propitious, rayl (acoustical unit)"
祥,"auspicious, propitious"
冠,"surname Guan; hat, crown, crest, cap; to put on a hat, to be first, to dub"
育,"to have children, to raise or bring up, to educate"
子,"son, child, seed, egg, small thing, 1st earthly branch: 11 p.m.–1 a.m., midnight, 11th solar month (7th December to 5th January), year of the rat, viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], ancient Chinese compass point: 0° (north), subsidiary; subordinate; (prefix) sub-; noun suffix, as in 椅子[yi3 zi5] ""chair"""
德,"Germany, German, abbr. for 德國|德国[De2 guo2]; virtue, goodness, morality, ethics, kindness, favor, character, kind; variant of 德[de2]"
翔,"to soar, to glide, variant of 詳|详[xiang2], (slang) shit"
玉,jade
良,"good, very, very much"
雅,elegant
永,"forever, always, perpetual"
元,"surname Yuan, Yuan dynasty (1279–1368); currency unit (esp. Chinese yuan), (bound form) first; original; primary, (bound form) basic; fundamental, (bound form) constituent; part, (prefix) meta-, (math.) argument; variable, era (of a reign), (Tw) (geology) eon"
鴻,"eastern bean goose, great, large"
宜,"surname Yi; proper, should, suitable, appropriate"
欣,happy
廷,palace courtyard
君,"monarch, lord, gentleman, ruler"
立,"surname Li; to stand, to set up, to establish, to lay down, to draw up, at once, immediately"
慶,to celebrate
慧,intelligent
美,"(bound form) the Americas (abbr. for 美洲[Mei3 zhou1]), (bound form) USA (abbr. for 美國|美国[Mei3 guo2]); beautiful, very satisfactory; good, to beautify, to be pleased with oneself"
昌,surname Chang; (bound form) prosperous; flourishing
忠,loyal; devoted; faithful
振,"to shake, to flap, to vibrate, to resonate, to rise up with spirit, to rouse oneself"
信,"letter, mail, CL:封[feng1], to trust, to believe, to profess faith in, truthful, confidence, trust, at will, at random"
婷,graceful
翰,"surname Han; writing brush, writing, pen"
威,"power, might, prestige"
輝,"splendor, to shine upon"
益,"surname Yi; benefit, profit, advantage, beneficial, to increase, to add, all the more"
軒,"surname Xuan; pavilion with a view, high, tall, high fronted, curtained carriage (old)"
聖,"(bound form) peerless (in wisdom, moral virtue, skill etc), (bound form) peerless individual; paragon (sage, saint, emperor, master of a skill etc), (bound form) holy; sacred"
裕,abundant
昱,bright light
勝,"victory, success, to beat, to defeat, to surpass, victorious, superior to, to get the better of, better than, surpassing, superb (of vista), beautiful (scenery), wonderful (view), (Taiwan pr. [sheng1]) able to bear, equal to (a task)"
鈞,"30 catties, great, your (honorific)"
安,"surname An; (bound form) calm; peaceful, to calm; to set at ease, safe; secure; in good health, content; satisfied (as in 安於|安于[an1 yu2]), to place (sb) in a suitable position (job), to install; to fix; to fit, to bring (a charge against sb), to harbor (certain intentions), ampere (abbr. for 安培[an1 pei2])"
淑,"(bound form) (of women) gentle; kind; lovely; admirable, (used in given names), Taiwan pr. [shu2]"
成,"surname Cheng, short name for Chengdu 成都[Cheng2 du1]; to succeed, to finish, to complete, to accomplish, to become, to turn into, to be all right, OK!, one tenth"
霖,continued rain
玲,"(onom.) ting-a-ling (in compounds such as 玎玲 or 玲瓏|玲珑), tinkling of gem-pendants"
耀,"brilliant, glorious"
達,"surname Da; to attain, to reach, to amount to, to communicate, eminent"
富,"surname Fu; rich, abundant, wealthy"
光,"light; ray (CL:道[dao4]), bright; shiny, only; merely, used up; finished, to leave (a part of the body) uncovered"
穎,"head of grain, husk, tip, point, clever, gifted, outstanding"
中,"(bound form) China; Chinese, surname Zhong; within; among; in, middle; center, while (doing sth); during, (dialect) OK; all right; to hit (a target), to be struck by (a bullet, illness etc), to win (a prize or lottery)"
健,"healthy, to invigorate, to strengthen, to be good at, to be strong in"
承,"surname Cheng, Cheng (c. 2000 BC), third of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; to bear, to carry, to hold, to continue, to undertake, to take charge, owing to, due to, to receive"
芳,fragrant
儒,"scholar, Confucian"
