Family Tone,Given Tone 1,Given Tone 2,Count
1,1,1,39
1,1,2,146
1,1,3,31
1,1,4,60
1,2,1,99
1,2,2,140
1,2,3,28
1,2,4,92
1,3,1,53
1,3,2,116
1,3,3,8
1,3,4,48
1,4,1,129
1,4,2,320
1,4,3,53
1,4,4,75
2,1,1,128
2,1,2,409
2,1,3,79
2,1,4,154
2,2,1,217
2,2,2,312
2,2,3,76
2,2,4,204
2,3,1,147
2,3,2,264
2,3,3,20
2,3,4,139
2,4,1,376
2,4,2,736
2,4,3,158
2,4,4,194
3,1,1,30
3,1,2,83
3,1,3,18
3,1,4,34
3,2,1,51
3,2,2,68
3,2,3,22
3,2,4,50
3,3,1,21
3,3,2,50
3,3,3,4
3,3,4,21
3,4,1,71
3,4,2,170
3,4,3,15
3,4,4,46
4,1,1,31
4,1,2,91
4,1,3,19
4,1,4,49
4,2,1,58
4,2,2,98
4,2,3,29
4,2,4,50
4,3,1,31
4,3,2,59
4,3,3,5
4,3,4,28
4,4,1,78
4,4,2,195
4,4,3,46
4,4,4,43
