character,male 20-,male 20~30,male 30~40,male 40~50,male 50~60,male 60+,female 20-,female 20~30,female 30~40,female 40~50,female 50~60,female 60+,total male,total female,sex ratio(male/female)
文,0,8,43,80,86,14,0,2,8,14,9,4,231,37,1.66
志,0,3,31,112,64,11,0,0,0,3,1,0,221,4,14.73
明,0,3,34,57,54,14,0,0,0,6,2,1,162,9,4.8
俊,0,11,40,71,32,5,0,0,0,0,0,0,159,0,1000.0
宏,0,6,27,75,36,3,0,1,1,0,0,0,147,2,19.6
偉,0,7,30,74,26,7,0,0,0,0,1,0,144,1,38.4
家,2,13,28,47,20,2,0,2,4,14,2,0,112,22,1.36
建,0,6,33,51,35,6,0,0,0,1,0,0,131,1,34.93
豪,1,8,42,62,12,1,0,0,0,0,0,0,126,0,1000.0
嘉,1,3,26,39,18,1,0,0,7,17,6,0,88,30,0.78
銘,0,2,24,43,32,7,0,0,0,0,1,0,108,1,28.8
宇,0,12,44,33,11,0,0,0,3,5,1,0,100,9,2.96
智,1,7,19,54,15,2,0,0,1,2,2,0,98,5,5.23
國,0,2,12,42,33,8,0,0,0,0,1,0,97,1,25.87
柏,1,12,33,35,4,1,0,0,2,2,0,0,86,4,5.73
華,0,0,13,17,26,12,0,0,3,9,9,1,68,22,0.82
正,0,1,12,39,30,5,0,0,0,1,0,0,87,1,23.2
佳,0,3,12,12,10,1,0,2,15,24,8,0,38,49,0.21
宗,0,3,22,43,14,5,0,0,0,0,0,0,87,0,1000.0
傑,0,5,28,35,16,2,0,0,0,0,0,0,86,0,1000.0
世,1,3,11,41,18,9,0,0,0,1,1,0,83,2,11.07
凱,1,4,28,35,10,1,0,0,1,2,1,0,79,4,5.27
彥,0,7,26,35,8,0,0,0,4,0,0,0,76,4,5.07
政,0,8,19,24,24,4,0,0,0,0,0,0,79,0,1000.0
維,1,4,24,26,11,4,0,0,2,1,5,0,70,8,2.33
賢,0,4,10,43,15,2,0,0,1,1,1,0,74,3,6.58
榮,0,0,11,33,24,7,0,0,0,0,0,0,75,0,1000.0
瑋,0,13,23,24,2,0,0,1,6,6,0,0,62,13,1.27
